   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        0.72942        4.28553        75.9007        13.3572        22.0544        18.0352       -2730.44     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0000_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         1        0.61622        4.56583        69.5043        10.8252        45.9482        30.2385       -4160.16     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0001_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         2       0.957336        4.44955         185.94        7.72705        12.8269        10.4714       -1819.01     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0002_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         3        0.59362         4.2985        191.385        7.43911        11.6239        9.67777       -1637.98     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0003_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         4       0.685588        4.13818        175.248        10.2072        13.8581        12.1152       -2037.26     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0004_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         5       0.519973        3.91258        77.0368        4.71338         15.005        10.3832       -1683.83     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0005_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         6        0.59396        4.07836        179.618        5.52645        9.10986        7.45359       -1430.48     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0006_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         7       0.808632        3.96041        195.588        10.1571        10.1653        10.0388       -1852.51     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0007_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         8       0.501224        3.84414        187.463        11.9649        7.58164        9.38111       -1633.77     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0008_163_0_230.e9_6.2e9_1.25564e+25_80.dat
         9       0.618061        3.85447        171.032        15.4609        14.8359        14.9261       -2366.71     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0009_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        10       0.623359        4.09619        187.857        8.08316        12.2645        10.3121       -1797.01     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0010_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        11       0.460127        3.98434        105.716        7.64238        9.60513        8.64211       -1449.69     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0011_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        12        0.44334        4.11443        110.425        3.78999        3.22949        3.43225       -799.971     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0012_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        13        1.13468        3.70739        163.914        9.40408        6.19926        7.50699       -1548.04     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0013_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        14       0.481177        3.87087        160.541        5.36629        8.51796        7.05513       -1282.76     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0014_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        15        0.53552         3.7932        142.973        8.76031        13.0129        11.0207       -1824.67     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0015_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        16       0.621159        4.18543        186.841         8.0912        8.78725        8.38064       -1494.49     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0016_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        17       0.526855        3.81594        144.594        9.94036        6.18037        7.72786       -1373.94     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0017_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        18       0.530852        4.09788        78.9746        6.54111        7.68105         7.0963       -1269.53     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0018_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        19       0.514422        4.10662        139.803        5.11471         4.5287        4.72675       -996.698     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0019_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        20       0.576892        4.09544         155.01        5.23704        6.19707         5.7079       -1127.57     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0020_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        21       0.560773        4.23889         159.12        5.10924        7.88709        6.59317       -1241.78     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0021_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        22       0.501852        3.80924        140.858        4.32168        7.28812        5.92008        -1148.3     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0022_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        23       0.513283        3.69131        135.389         7.7949        13.3206        10.7754       -1782.86     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0023_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        24       0.744444         4.1123        144.688        4.88494        11.1856        8.33187       -1541.11     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0024_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        25        0.56756         3.5992        105.941        3.51204        9.45998         6.7793       -1283.44     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0025_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        26       0.858863          3.751        138.124        11.0042          23.72        17.9468       -2785.55     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0026_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        27       0.715133        4.00347        39.8647        4.85332         10.398        7.87993       -1395.64     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0027_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        28       0.649065        4.05537        73.1724        13.9375        13.6957        13.6344       -2087.35     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0028_163_0_230.e9_6.2e9_1.25564e+25_80.dat
        29       0.605917        4.25027        122.615        7.04524        6.23807        6.51087       -1193.04     /gpfs/hpu/EHT2/IHARM/MAD/MAD_a+0.94_384x192x192_IHARM/m_1_1_80/image_a+0.94_0029_163_0_230.e9_6.2e9_1.25564e+25_80.dat
