   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.555079        2.59142        188.955        4.87943        7.63506        6.35378       -1296.07     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0600_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         1       0.481357        2.72029        125.362        6.00366        6.71345          6.326       -1209.48     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0605_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         2       0.704297        2.95357        210.883        12.7029        7.09709        9.42986       -1729.14     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0610_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         3       0.538858        2.87257        186.511        20.9894        7.03442        12.9702       -2039.85     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0615_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         4       0.447245        2.61374        189.587        20.3075        7.72547        13.0605       -2077.34     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0620_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         5        0.52253        2.84202        191.855        23.1176         8.3747        14.6342       -2285.31     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0625_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         6       0.532194        2.64468         184.34        26.3383        9.68718        16.7541       -2555.95     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0630_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         7       0.488676        2.75864        178.449        22.9142        7.78649        14.2192       -2218.05     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0635_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         8       0.552249        2.71702        193.387        19.2898        8.84999        13.2472       -2076.48     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0640_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
         9       0.965864        2.93984        202.556        16.4683        9.19851        12.2238       -2114.55     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0645_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        10       0.805598        2.95635        208.972        21.7387        8.85248        14.3052        -2330.7     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0650_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        11       0.741338        2.97249        188.432        19.6688         8.6555        13.3025       -2199.59     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0655_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        12       0.956158        2.92981        176.033        12.6016        9.08225        10.4908       -1930.96     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0660_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        13       0.596733        2.79432        178.969        11.7632        7.02423         8.9839       -1620.96     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0665_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        14       0.830222        2.76297        183.682        20.0845        8.02339        13.1301       -2250.89     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0670_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        15       0.587226        2.87564       -189.487        28.3863        11.1631         18.459       -2786.93     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0675_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        16       0.881958        3.07845       -188.657        23.6459         11.913        16.8311       -2673.72     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0680_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        17       0.621003        2.87993       -197.064        26.7221         8.6417         16.338       -2528.29     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0685_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        18       0.786038        3.04967       -184.543        36.6191         15.022        24.1584        -3530.3     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0690_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        19       0.472645        2.94428        -194.46        22.4353        9.57962        15.0103       -2266.56     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0695_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        20       0.447297        2.79876        156.139        15.2935        11.1952         12.828       -2027.59     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0700_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        21       0.547515        2.87264         134.15        18.7506        9.90968        13.6042       -2135.31     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0705_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        22       0.465842        2.88897        138.958        14.6197        6.08771         9.6952       -1604.58     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0710_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        23       0.539342        3.02803        89.8585        6.26645        5.98009         6.0313        -1140.7     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0715_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        24       0.579057        2.94762        74.7036        9.81614        15.2075        12.6974       -2006.82     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0720_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        25       0.685783        2.66472        158.195        13.4867        12.3162        12.6722       -2095.21     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0725_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        26       0.668409        2.79312        169.614        11.3089         8.2127        9.44919       -1686.27     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0730_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        27       0.572142        2.77929        155.163        32.6855        9.98328        19.6574        -2920.5     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0735_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        28       0.599804        2.69488        136.616        15.9503        7.80763        11.2263       -1863.39     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0740_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        29       0.857277        2.77619        136.232        5.53163         19.794         13.401       -2355.31     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0745_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        30       0.423438        2.87559         178.04        8.05846        7.04973        7.39967       -1299.33     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0750_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        31       0.546214        3.02289        154.667        15.6573        6.68332        10.4743        -1717.4     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0755_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        32       0.823279        3.01918         109.76        5.25071        7.38654        6.37568       -1299.38     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0760_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        33       0.578288        2.79332        151.076        9.14529        4.88975        6.66666       -1261.59     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0765_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        34       0.713748         2.8901        126.543        7.57208        4.67979        5.87106       -1193.53     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0770_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        35       0.493463        2.91007        160.566        7.68562        7.84162        7.67945       -1353.95     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0775_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        36       0.623719        2.87927        126.296        6.87702        8.92354        7.93262       -1437.13     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0780_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        37       0.630193        3.14377        201.222        7.46588        9.69493        8.61592       -1547.99     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0785_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        38        0.92406         3.1061        200.837        9.80642        12.7343         11.317       -1978.86     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0790_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        39       0.659115        2.81005        222.152        17.9936        16.5994        17.0001       -2800.83     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0795_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        40       0.873739        2.79424        205.244        19.8246        12.3661        15.4345        -2522.6     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0800_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        41       0.722115        2.79707        217.723        8.41549        10.9809        9.74123       -1772.31     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0805_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        42       0.678969         3.0511        205.829        25.0646        22.6483        23.4169       -3468.42     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0810_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        43       0.738644        2.74195        190.003        8.96119         19.384        14.6526       -2416.62     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0815_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
        44       0.721441        3.05664        210.513        23.2077        17.4875        19.7439       -3224.71     /gpfs/hpu/EHT2020/sc_4/Sa+0.5/m_1_1_1/image_Sa+0.5_0820_163_0_230.e9_6.2e9_8.05774e+26_1_4.dat
