   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.701341        4.22616       -252.104        5.59386        13.3557        9.84528       -1618.99     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1000_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         1       0.911502        4.01252       -178.862        7.34528         12.979        10.3913       -1871.29     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1010_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         2        1.06793        4.65243        -175.39        5.37211        11.1701        8.53344       -1614.91     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1020_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         3       0.670881        4.34259       -170.186        5.65584        11.3934        8.78007        -1524.4     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1030_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         4       0.803238        4.09822       -187.482        11.9296        8.01321        9.60602       -1739.54     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1040_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         5       0.730792        3.93959       -173.973        13.2422        11.0415        11.8574          -2050     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1050_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         6        0.86084        4.58103       -172.898        7.12334        13.7179        10.7067       -1844.32     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1060_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         7       0.922814        4.19278       -172.711        7.25768        9.36132        8.34046       -1618.75     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1070_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         8       0.747575        4.13348       -182.605        5.79834        8.55225        7.26061       -1397.84     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1080_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
         9       0.600493        4.08307       -195.196        10.8092        11.2146         10.904        -1832.6     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1090_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        10       0.505165        4.01179       -210.483        11.1675        9.40829        10.0535       -1673.71     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1100_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        11       0.508702         4.2472        -248.76        4.54823        7.25643        6.00019       -1128.19     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1110_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        12       0.578361        4.28405       -247.061        3.93031        8.30864         6.3191       -1199.91     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1120_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        13       0.753659        4.06355       -195.462        4.57699        8.90526         6.9301       -1307.82     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1130_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        14       0.547931        3.84864       -214.181        15.5315        14.2983        14.6574       -2220.45     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1140_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        15       0.531712        4.01393        -236.98        5.82321        5.93708        5.81614       -1131.55     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1150_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        16       0.588982        4.12731       -186.535        2.69152        6.33504         4.6864       -1027.46     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1160_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        17       0.511351          3.959       -246.579        4.41352        8.05887        6.38859       -1176.45     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1170_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        18       0.782908        3.76795       -195.585        4.15497        9.66845        7.17269       -1445.85     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1180_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        19        0.46866        4.09348       -213.926        4.67224        6.34827        5.54835       -1077.49     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1190_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
        20       0.696494        4.08205       -239.534        7.33919        8.52855        7.91223       -1469.08     /gpfs/hpu/EHT2020/sc_64/Ma+0.94/m_1_1_160/image_Ma+0.94_1200_163_0_230.e9_6.2e9_1.21241e+25_160_64.dat
