   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.08526        3.51166       -61.7549        12.7509        14.9344        13.8117        -2341.8     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1400_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         1       0.637281        4.20018       -38.6933        6.86142        23.1706        15.8537       -2425.31     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1406_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         2       0.672096        3.80048       -51.2511        2.12202        4.58738        3.46821       -859.379     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1412_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         3       0.846519        4.05864       -47.8924         4.7089        5.91807        5.32478       -1091.79     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1418_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         4         1.6825        3.89612       -38.4113        18.8369        8.80736        13.0281       -2168.31     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1424_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         5       0.792911         3.9526       -30.9485          5.857        4.35488        4.95029       -1040.77     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1430_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         6       0.959126        3.79108       -57.6286        11.8835         5.7855        8.34651       -1534.38     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1436_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         7       0.740688        3.85763       -1.84902        14.0161        34.5497        25.2725       -3559.41     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1442_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         8       0.585111        3.98384        12.2833        12.5329        9.40816        10.6425       -1719.71     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1448_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
         9       0.934955        3.04545       -71.8362        7.59137          19.64         14.204       -2417.04     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1454_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        10         1.2235        3.60178       -40.2682        4.69878        17.4482        11.7364       -2079.45     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1460_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        11        1.36536        4.38718       -292.462         12.425        90.2043        55.5551       -7504.17     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1466_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        12       0.745111        3.43988       -55.0879        9.65618         63.936        39.7435       -6921.29     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1472_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        13        1.32203        4.28213       -124.085         16.522        46.7764        33.1572       -4764.35     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1478_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        14        1.27372        4.58143       -110.259        32.2652        23.3746        26.9277       -3943.11     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1484_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        15        1.14647         4.6739       -86.0138        23.7617        16.2409        19.2893       -2847.75     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1490_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        16       0.966414        5.22263         27.521        14.4196        39.6077        28.2611       -4196.32     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1496_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        17        1.04146        4.88732        -38.305        14.5537        11.9832        12.9473       -2016.74     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1502_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        18        1.02899        5.27829       -46.4137         7.6301        25.7126        17.5998       -2613.58     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1508_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        19       0.877836        4.04722        38.9608        15.3318        11.1237        12.8047       -2166.59     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1514_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
        20         1.2827        4.34139         281.81        6.08916        22.4112        15.0979       -2413.55     /gpfs/hpu/EHT2020/sc_64/Ma-0.94/m_1_1_10/image_Ma-0.94_1520_17_0_230.e9_6.2e9_2.08482e+25_10_64.dat
