   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.363526        3.49687        89.5722        6.07618        7.25958        6.66118       -1202.14     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0600_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         1       0.629133        3.53125        177.101        6.87454        8.50932        7.70105       -1434.63     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0605_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         2       0.438969        3.37992        187.425        4.67166        4.75254        4.66015       -1021.71     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0610_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         3       0.486555        3.51207        180.585        7.96147        4.97464        6.20314       -1220.32     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0615_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         4       0.510724        3.47602        114.224        8.33272        15.9259        12.4572       -1988.31     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0620_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         5        0.75796         3.3734         189.06        9.40905        5.04682        6.86786       -1356.02     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0625_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         6        1.00178        3.18004        113.363        8.17484        6.55371        7.17387       -1507.39     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0630_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         7       0.543358        3.26113        107.947        6.14361        9.59806        7.99153       -1407.44     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0635_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         8       0.719553        3.05407        129.487        7.96956        7.01798        7.34364       -1384.06     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0640_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
         9       0.411904        2.93542        154.566        6.29005        3.98184        4.92955       -1000.08     /gpfs/hpu/EHT2020/sc_64/Sa+0.5/m_1_1_40/image_Sa+0.5_0645_163_0_230.e9_6.2e9_2.27593e+28_40_64.dat
