   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.381935        3.15603        322.076        6.18956        6.51157        6.29387       -1168.41     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1000_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         1       0.422112        3.20366        298.078        6.61522        13.7732        10.5183       -1712.53     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1006_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         2        0.42743        3.20865        302.277        6.00863        11.4906         8.9864       -1518.14     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1012_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         3       0.464931        3.38745         308.92        5.26613        10.6468        8.19649       -1418.24     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1018_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         4       0.518177        3.49483        350.031        2.77575        6.55511         4.8452       -1022.35     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1024_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         5       0.649188        3.64199        359.922        4.18782        13.8547        9.51628       -1665.21     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1030_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         6       0.471751        3.15949        312.666        2.39444        8.83639        5.95011       -1195.89     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1036_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         7       0.676966        3.46974        352.744        4.24867        15.1587        10.2682       -1779.01     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1042_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         8       0.533656        3.07473          307.2        6.01174        22.0987        14.8907       -2345.15     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1048_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
         9       0.829952        3.13286        321.392        5.66813        26.9915         17.465       -2736.43     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1054_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        10       0.459566        3.25563        322.955        2.89106        12.2445        8.06081       -1455.35     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1060_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        11       0.550881        3.43203        335.917        2.22757         8.9601        5.94695       -1200.68     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1066_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        12        0.49973        3.21672        320.765        1.56046        5.88962        3.95055       -932.233     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1072_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        13       0.536623        3.26571        340.734        2.90563        6.37056        4.79855       -1063.06     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1078_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        14       0.450728        3.27825        359.988        3.08644        11.1569        7.53991       -1393.24     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1084_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        15        1.09641        5.54891        353.105        77.0967        83.6784        79.8265       -12791.6     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1090_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        16       0.639676        3.44189        339.225         3.7908        17.7839        11.5314       -1980.55     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1096_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        17       0.709321         3.3764        327.605        5.07399        19.5004        13.0402       -2180.02     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1102_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        18       0.485655        3.20475        303.181        3.26299        15.5221        10.0451       -1699.76     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1108_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        19       0.513786         3.2852        311.911        2.06086        8.35636        5.53907        -1142.8     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1114_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        20       0.506031        3.20071         302.77        5.09075        18.3138        12.3872       -2021.69     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1120_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        21       0.479253        3.37258        327.655         4.0355        6.64712        5.43992       -1078.16     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1126_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        22       0.514555        3.47227        359.995        3.46191        6.53444        5.12975       -1044.26     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1132_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        23       0.474704        3.41496        359.671        2.39393        9.97297        6.58234       -1256.98     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1138_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        24       0.628248         3.0946        323.688        5.38086        10.6899        8.26997       -1553.39     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1144_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        25       0.418063        3.13418        336.996        3.45269        8.12167        6.00898       -1179.38     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1150_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        26       0.534355        3.23261        325.432        6.43651        15.0864        11.1719       -1856.42     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1156_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        27       0.644625        3.41652        339.076        5.71008        37.8795        23.5418       -3449.36     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1162_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        28       0.692528         3.5295        354.517        4.87857        29.2747        18.3948       -2781.53     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1168_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        29       0.689901        3.38015         278.39        5.34589        22.9628        15.0842       -2428.54     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1174_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        30       0.670023        3.27349        297.938        6.14396          27.01        17.6806       -2770.71     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1180_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        31       0.775536        3.37122        342.053        5.34284        33.9868        21.2172       -3263.55     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1186_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
        32        0.47758        3.43523        337.831        2.39309        8.06113        5.51813       -1135.93     /gpfs/hpu/EHT2020/sc_64/Sa-0.5/m_1_1_160/image_Sa-0.5_1192_17_0_230.e9_6.2e9_1.66203e+29_160_64.dat
