   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.456629        2.12796       -250.938        9.90602        6.96083        8.14733       -1418.93     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1000_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         1       0.468547        2.28187       -139.911        6.88859        9.08046        8.02493       -1437.09     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1010_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         2       0.428203        2.08381        178.078        14.4249        10.6981        12.1766       -1974.75     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1020_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         3       0.497656        2.01973        105.666        14.5209        12.2442        13.0784       -2103.15     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1030_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         4       0.556448        2.13159        129.126        10.0279        13.3976        11.7816       -2000.44     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1040_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         5       0.560295         2.1682        194.955        17.3078        8.89385        12.4165       -2015.89     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1050_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         6       0.437784        2.13814        153.141        13.9389        6.21534        9.47248       -1563.54     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1060_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         7       0.497631        2.05218        195.382        14.1554        9.89898        11.6157       -1937.48     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1070_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         8       0.583587        2.15181        182.988        29.1754        9.40114         17.819       -2725.97     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1080_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
         9       0.437237        2.19159       -278.926        9.71369        9.00516        9.20192       -1530.83     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1090_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        10        0.69309        2.01079       -229.501        8.89659        6.29829        7.34314        -1468.7     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1100_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        11       0.880519        2.07372       -167.695        15.9354        5.45264        9.90949       -1793.85     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1110_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        12       0.450402        1.90334       -244.987        14.0288        12.1891        12.8354       -2029.08     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1120_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        13       0.407939        2.01348       -229.855        7.91201        9.33452        8.60786       -1506.56     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1130_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        14       0.597144        2.20991       -244.916        14.0473        15.4496        14.6577       -2302.27     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1140_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        15       0.534315        2.33378       -205.436         27.994        11.9365        18.7201       -2791.51     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1150_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        16       0.431662        2.08832        -205.01        25.5649        9.80009        16.4833       -2478.66     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1160_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        17       0.444749        2.14065       -291.696        2.48329        6.96976        4.94975       -1032.79     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1170_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        18        0.54047        2.12186       -290.453        23.0697         12.645        16.9898       -2567.94     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1180_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        19       0.646742        2.26177       -200.889        9.20198        7.83963        8.33258       -1536.01     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1190_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        20       0.540592        2.11712       -175.807        20.5422        8.73887        13.7257       -2199.45     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1200_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        21       0.379183        2.04427        125.396        10.3251        4.75757        7.10213       -1260.84     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1210_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        22       0.429165        2.07388        180.769        12.5814        11.8104        12.0002       -1930.64     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1220_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        23       0.677031         2.5134        191.991        34.3241        10.3858        20.5884       -3020.84     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1230_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        24       0.752149        2.10505        183.865        17.7562        16.2195        16.6863       -2682.47     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1240_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        25       0.622748        2.11072        105.994        15.3869        13.2897        14.0338       -2241.32     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1250_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
        26       0.903871        2.52041       -163.361        21.8755        10.5152        15.2894       -2450.69     /gpfs/hpu/EHT2020/sc_64/Sa0/m_1_1_1/image_Sa0_1260_163_0_230.e9_6.2e9_1.71743e+28_1_64.dat
