   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.498711        4.13299        175.079        4.19993        6.85708         5.6277       -1085.77     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1000_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         1       0.636002        3.85792        187.458        10.0454        5.62022        7.46148       -1454.55     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1010_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         2       0.425887        3.92773        130.551        5.56757        4.22056        4.75067        -978.68     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1020_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         3       0.602993        4.00181        196.602        10.6126        11.3594        10.8998        -1870.4     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1030_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         4       0.493137        3.87797          174.1        10.8582        7.06657        8.61701       -1505.25     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1040_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         5       0.394533        3.72042        155.897        8.31735        8.01881        8.05061        -1403.6     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1050_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         6       0.537768        4.05926        181.478        6.64494        8.48384        7.58782       -1445.25     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1060_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         7       0.412562        3.97433        161.449        12.9825        7.37612        9.70577       -1614.79     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1070_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         8       0.391978        4.03974        173.161        13.0669        6.02807        8.99206       -1530.99     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1080_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
         9         0.5071        4.30086        81.9273        2.79055        11.9097        7.83118       -1355.39     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1090_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        10       0.651939        4.40953         42.563        8.47824        65.7324        40.2349       -5551.76     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1100_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        11       0.427232         3.9178        114.057        2.35174        4.71487        3.63826       -838.454     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1110_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        12       0.465687        4.26737        119.732        4.79758        9.21711         7.1988       -1316.03     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1120_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        13        0.34714        4.15157        134.999         6.4916        7.20432        6.80967       -1226.53     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1130_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        14        0.52197        4.26003        177.188        5.17927        16.5576        11.4481       -1905.66     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1140_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        15        0.39974        3.66332        231.781        5.79711        9.26675        7.65767       -1420.46     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1150_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        16       0.454513        3.59421        184.593        7.77514        6.28088         6.8496       -1322.24     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1160_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        17       0.418642        3.80588          145.8        2.47507        2.87702         2.6688       -737.846     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1170_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        18       0.514466        3.70006        201.762        4.86579        6.55742        5.74824       -1197.41     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1180_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        19       0.666988        3.80634        169.316        4.02547        6.58249        5.39963       -1197.53     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1190_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        20       0.523164        3.86929        108.322        9.18008        38.0994        25.1612       -3520.81     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1200_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        21       0.744222        3.99896        85.5582        5.46831        21.9377        14.5666       -2270.68     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1210_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        22       0.844251        4.22742         190.15        18.4928        8.86234        12.9102       -2143.01     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1220_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        23        0.68974        3.87825        113.407        3.12881        7.43989        5.48987       -1195.59     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1230_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        24       0.661186        4.01488        176.565        6.97179         5.0676        5.82786       -1134.84     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1240_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        25       0.483149        3.30155        210.061        7.38039        12.7139        10.2589       -1767.82     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1250_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        26       0.514632        3.68287        122.286        6.80769        7.01812        6.84243        -1248.3     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1260_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        27       0.661399        3.44629        195.315        4.13147        5.44227        4.81089       -1124.48     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1270_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        28        0.72451        3.25027        187.158        5.53324        7.61335        6.62379       -1340.94     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1280_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        29       0.649008        3.80564        85.3332        12.5352        17.5268        15.1611       -2331.31     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1290_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        30        0.56461        3.53635        169.267        11.5157        8.38485        9.63425       -1709.35     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1300_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        31       0.428628          3.459        150.688        4.82135        8.35027         6.7267       -1257.05     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1310_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        32        0.43145        3.90986         138.22        7.94044        13.9527        11.1899       -1825.87     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1320_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        33       0.396854        3.38669        110.194        2.02742        7.63457          5.123       -1028.05     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1330_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        34          0.858        4.15174        120.343        9.89019        13.9389        12.0235       -2064.22     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1340_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        35       0.712775        3.57649        172.633         7.1064        9.25952        8.21854       -1626.85     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1350_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        36       0.510352        3.98455        41.7552         11.777        50.8833        33.3953       -4566.97     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1360_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        37       0.531104        3.93597        179.076        5.50854        7.76613        6.69814       -1243.35     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1370_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        38       0.521934        3.74171        141.425        2.31423        10.0982        6.61766       -1310.26     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1380_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        39       0.478276         3.5588        200.632        6.32234        6.54029        6.36714       -1264.99     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1390_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        40       0.418107        3.91967         98.334        5.02478        8.97109        7.15993       -1258.97     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1400_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        41       0.451664        4.00384         115.32        9.20203        9.77297        9.40841       -1573.59     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1410_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        42       0.381153         3.8054        109.045        3.99007        5.24669        4.64105       -956.948     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1420_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        43       0.489986         3.8021        178.482        8.30757        6.11345        6.98615       -1348.74     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1430_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        44       0.415082        3.77676        132.025        3.29786        3.60425        3.42846       -812.696     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1440_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        45       0.408554        3.92115        175.337          5.352        3.51311        4.26401       -928.358     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1450_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        46       0.418573        3.82266        123.069        5.50516        3.95161        4.57409       -960.241     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1460_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        47       0.382619         3.9119        115.054        2.94415        6.52042        4.89855       -1002.41     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1470_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        48        0.52406        3.82607        178.423        7.14752        4.94408        5.83495       -1200.28     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1480_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        49        0.45576        3.88701        181.792        3.17129        6.81209        5.15886       -1101.36     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1490_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        50       0.494382        3.70535        195.156        11.1294        5.53829        7.88359       -1434.83     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1500_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        51       0.459461        3.60676        156.304        5.00882        5.14295        5.02286       -1069.88     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1510_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        52       0.430049        3.57349        134.443        4.73656        3.30511        3.88273       -867.168     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1520_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        53       0.451663        3.83041        95.4484        7.24617          9.452        8.38595       -1424.66     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1530_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        54       0.449988        3.70905        145.093        4.26579        4.00685         4.0701       -913.871     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1540_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        55        0.39572        3.56105        91.8834        4.80804        4.71886        4.70025       -987.934     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1550_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        56       0.445627        3.80815        145.852        2.05039        3.45536        2.80739       -758.368     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1560_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        57       0.423327        3.66752        126.219        5.77759        5.03265        5.29318       -1051.41     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1570_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        58       0.439393        3.61662        92.7575        4.05069        9.16561         6.8479       -1326.78     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1580_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        59       0.418151        3.80262        131.565        1.90152        3.37094        2.69618       -751.286     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1590_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
        60       0.534081         3.7301        85.1451        7.11902        16.8749        12.4616       -2055.22     /gpfs/hpu/EHT2020/sc_4/Ma+0.5/m_1_1_160/image_Ma+0.5_1600_163_0_230.e9_6.2e9_2.74726e+25_160_4.dat
