   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0        1.01462        3.42588        297.822        13.8422        17.4479        15.6811       -2587.29     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1400_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         1       0.634826        4.23196        320.711        13.7677        26.9202        20.9199       -3048.98     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1406_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         2       0.700494         3.8302        308.509        3.50371        4.18365        3.83968       -897.563     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1412_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         3       0.734726        4.03382        313.145        4.60551        7.27122        6.03314       -1155.82     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1418_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         4        1.80501        3.86102        321.584        25.4653        13.6496        18.5824        -2876.8     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1424_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         5       0.762279        3.85761        329.928         7.1958          4.307        5.50127        -1100.5     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1430_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         6       0.793607        3.56154        274.604         5.4856        15.9068        11.2181       -1909.38     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1436_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         7       0.477698        3.70305        359.912        14.5506         34.155        25.2835       -4213.98     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1442_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         8        1.22956        4.51883        340.184        32.2518        22.4661        26.4164       -3984.69     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1448_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
         9       0.842438        3.23607        303.133        6.51077        15.5241        11.4475       -2026.14     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1454_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
        10        1.07264        3.47011        319.599        5.92294        18.2976        12.7372       -2183.27     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1460_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
        11        1.63506        4.30382         320.15        21.8352        106.247         68.542       -9399.32     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1466_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
        12        2.24781        5.99514         323.86         70.573        38.3915        51.8118       -7040.85     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1472_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
        13         1.1491        4.20257        331.248        10.2141        92.6501        55.9622       -7770.02     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1478_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
        14        1.11779          4.475         248.27        34.6132        27.6718        30.3319       -4340.42     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1484_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
        15       0.999998         4.5505        337.565        9.41655        24.1708        17.5127       -2836.74     /gpfs/hpu/EHT2020/sc_4/Ma-0.94/m_1_1_10/image_Ma-0.94_1490_17_0_230.e9_6.2e9_2.25796e+25_10_4.dat
