   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0         0.3943        3.75752       -245.047         2.2132        4.49221        3.45459       -872.214     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1000_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         1       0.564678        4.05174       -120.167        9.54008        35.5431        23.8941       -3494.39     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1010_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         2       0.384478        3.55536        -184.01        2.30776        5.84019        4.24547       -941.469     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1020_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         3       0.572856        3.96228       -258.839         11.942        51.9824        34.0781       -5158.31     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1030_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         4       0.400274        3.46692       -122.919        6.25651         6.0307        6.05517       -1144.09     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1040_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         5       0.615793        3.36442       -169.559        5.26257        14.4056        10.2865       -1860.95     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1050_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         6       0.719316        3.31542       -261.436        2.08515        10.5483        6.76927       -1367.76     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1060_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         7       0.417642        3.30689       -99.0872        4.58301        7.76177         6.2964       -1184.04     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1070_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         8       0.410646        3.38527       -165.281        6.07462         6.5412        6.26076       -1197.83     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1080_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
         9       0.617867         3.2858       -247.924        14.4325        30.9246         23.435       -3399.53     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1090_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
        10       0.692189        3.36803       -60.0549        7.15719        7.38646        7.19819       -1363.39     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1100_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
        11       0.596022        3.81313       -184.811        3.08002         13.395        8.78257       -1519.64     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1110_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
        12       0.622425        3.71572       -230.779        6.55382        26.7034        17.6868       -2857.85     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1120_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
        13       0.691367        3.60204       -282.812        12.5132         51.802        34.2242       -5166.62     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1130_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
        14       0.882701        3.90723       -259.633        8.21846        22.4838         16.057       -2732.56     /gpfs/hpu/EHT2020/sc_4/Ma0/m_1_1_10/image_Ma0_1140_163_0_230.e9_6.2e9_1.38107e+25_10_4.dat
