   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.404321        3.04563       -216.936        3.68321        12.9711         8.8069       -1522.57     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1000_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         1       0.624418        2.99192       -199.392        3.88448        21.9595        13.8954       -2295.99     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1010_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         2       0.399446          3.196       -192.317        1.80164        6.00044        4.11627       -938.944     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1020_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         3       0.354846        3.15524       -214.547        5.79734        7.73965        6.80801       -1247.05     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1030_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         4       0.438113        3.05679       -226.694        6.31267        53.1328        32.2894       -4589.24     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1040_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         5       0.459682        2.97029       -211.518        3.91433        8.85632        6.61696       -1335.94     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1050_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         6       0.518009        3.17332       -195.359        7.11516         6.3734        6.61633       -1320.23     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1060_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         7       0.573396        3.14486       -212.734        2.04407        13.9032        8.61839       -1588.28     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1070_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         8       0.478607        3.04697       -228.791        3.22623        17.0656        10.8881       -1852.42     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1080_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
         9         0.6325        3.04886       -231.785         4.0898        20.9829        13.4405       -2255.79     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1090_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        10       0.524804        3.06966        -245.58        4.91345        28.4185        17.9334       -2750.31     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1100_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        11       0.540681         3.0468       -239.417        6.59714        45.6144        28.2286       -4072.27     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1110_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        12       0.413951        3.06872       -182.921        2.28588        3.97961         3.2007       -824.251     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1120_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        13       0.466096        3.05301       -223.699        3.76429        11.8775        8.23336       -1451.46     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1130_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        14       0.536981        3.06226       -192.039        4.73916        11.5945        8.49649       -1549.56     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1140_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        15       0.422486        3.32302       -198.147        3.46811        5.96583        4.81602       -1009.93     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1150_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        16       0.426179        3.02422       -192.523        7.00495        20.4463        14.3997       -2258.98     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1160_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
        17       0.427577        3.03701       -220.248        3.02736         9.1695        6.40854       -1247.55     /gpfs/hpu/EHT2020/sc_4/Sa0/m_1_1_160/image_Sa0_1170_163_0_230.e9_6.2e9_6.94871e+29_160_4.dat
