   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0       0.551458        3.41073        155.292         8.4577        12.0669        10.3637       -1734.11     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0600_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         1       0.524189        3.33947        133.313        7.45756         4.8154        5.89711       -1146.02     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0606_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         2       0.452522        3.43419        121.183        3.44805        5.01484        4.27818       -918.631     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0612_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         3         0.4865         3.3435        182.616        5.35869        6.66722          6.022       -1222.18     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0618_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         4       0.482477         3.4408        167.952        4.60532        5.21846         4.8908       -1038.51     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0624_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         5       0.419031        3.41484        205.225        11.7093        5.23438        7.96469       -1435.77     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0630_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         6       0.474911        3.55532        190.762        21.8145        5.89169        12.6903       -2019.62     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0636_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         7        0.51288        3.82019        194.691        14.8145        5.97151        9.71458       -1650.64     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0642_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         8        0.53828        4.20466        196.389        21.1035        6.62171        12.7898          -2035     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0648_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
         9       0.604897         4.1506        189.537        25.6422        8.26657        15.6633       -2417.13     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0654_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
        10       0.625496        3.98818         178.64        38.1795        9.78203        21.9158       -3189.14     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0660_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
        11        0.65622        3.99156        177.234        22.7645         8.6415        14.6303       -2287.22     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0666_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
        12       0.506981        3.94506        171.211        12.9347          7.295           9.64       -1669.82     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0672_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
        13       0.626943        4.07109        168.625        16.0568        7.54984        11.1288       -1879.73     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0678_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
        14       0.642385        4.01144        163.194        17.3426        8.51914         12.223       -1963.33     /gpfs/hpu/EHT2020/sc_64/Sa+0.94/m_1_1_1/image_Sa+0.94_0684_163_0_230.e9_6.2e9_1.58145e+26_1_64.dat
