   # Index         I (Jy)      M/D (uas)       PA (deg)  VA red. chisq  CP red. chisq     red. chisq     log-liklhd     FileName
         0         0.6427        3.52164        328.444        2.97587         4.8103        3.96064       -956.543     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1200_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         1       0.710909        3.73027        339.924        4.38162        4.76616         4.5426       -1044.68     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1206_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         2       0.547897        3.36759        325.338        3.57867        6.16836        4.97642        -1050.8     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1212_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         3       0.675198        3.44663        306.362        6.22351         3.4358          4.597       -1013.77     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1218_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         4       0.598453        3.40099        326.306         2.9852        6.45801        4.88154        -1067.5     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1224_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         5       0.736681         3.2881        319.069        3.11055        8.26253        5.93975       -1228.93     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1230_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         6         0.7108        3.43221        337.574        4.74893        14.7601        10.2622        -1841.1     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1236_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         7       0.718112        3.51566         334.96        4.00966        9.76459         7.1635       -1405.88     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1242_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         8       0.789818        3.69448        324.391        2.77313         3.7473        3.28166       -891.437     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1248_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
         9       0.783653        3.57242        322.323        3.47232        6.04343        4.86101        -1105.8     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1254_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
        10       0.755699        3.51637        357.994        2.63166        6.59497        4.80522       -1105.64     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1260_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
        11       0.558583        3.38859        315.921        4.32268        3.43629        3.77716       -878.887     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1266_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
        12       0.482979        3.51657        335.795        3.38538        2.98245        3.12021       -778.905     /gpfs/hpu/EHT2020/sc_64/Sa-0.94/m_1_1_10/image_Sa-0.94_1272_17_0_230.e9_6.2e9_6.88283e+28_10_64.dat
